Fitness,Accuracy,Complexity,Equations
42.8375000000000,30.8375,8,[a1*b1 + a2*a3 -a1 + a2 - a3 + b2 a1 + a3 - a4 + b1 a2 + a3 - a4 + b3]
42.2375000000000,27.2375,10,[a1*b1 + a2*a3 -a1 + a2 - a3 + b2 a1 - a4 + b1 + b4 a2*a4 + a2 + a3 + b3]
40.8000000000000,28.8,8,[a1*b1 + a2*a3 a1 + a2 - a3 + b2 a1 + a3 - a4 + b1 a2 - a4 + 2*b3 + b4]
35.6375000000000,32.6375,2,[b3 b3 b4 a3 + 2*a4 + b2]
33.1125000000000,28.6125,3,[a4 b3 a4*b3 + b1*b3 + b2 a4*b3 + b1*b3 + b2]
33.1125000000000,28.6125,3,[a4 b3 a4*b3 + b1*b3 + b2 a4*b3 + b1*b3 + b2]
32.8250000000000,28.325,3,[b3 b3 a4*b3 + b1*b3 + b2 a4*b3 + b1*b3 + b2]
32.8250000000000,28.325,3,[a4 a2 a4*b3 + b1*b3 + b2 a4*b3 + b1*b3 + b2]
32.6500000000000,28.15,3,[a2 a2 a4*b3 + b1*b3 + b2 a4*b3 + b1*b3 + b2]
30.8625000000000,26.3625,3,[a4 a2 a4*b3 + b1*b3 + b2 a4*b3 + 2*b2]
30.8625000000000,26.3625,3,[a4 a2 a4*b3 + b1*b3 + b2 a4*b3 + 2*b2]
30.8500000000000,23.35,5,[a2*b3 a2 a4*b3 + b2 + b3 a4*b3 + 2*b2]
30.8500000000000,23.35,5,[a2*b3 a2 a4*b3 + b2 + b3 a4*b3 + 2*b2]
28.9250000000000,22.925,4,[a4*b3 + b1*b3 + b2 a2 a4*b3 + b1*b3 + b2 a4*b3 + 2*b2]
28.9250000000000,22.925,4,[a2 + a4*b3 a2 + a4*b3 a4*b3 + b2 + b3 a2 + a4*b3]
27.3125000000000,22.8125,3,[a2 + a4*b3 a2 + a4*b3 2*a4*b3 + b3 a2 + a4*b3]
27.0000000000000,21.0,4,[a2 + a4*b3 a2 + a4*b3 a2 + a4*b3 + a4 a2*a4 + a4*b4 + a4]
26.6500000000000,20.65,4,[a2 + a4*b3 a2 + a4*b3 a2 + a3*a4 + a4*b3 a2 + a3*a4]
26.6500000000000,20.65,4,[a2 + a4*b3 a2 + a4*b3 a2 + a3*a4 + a4*b3 a2 + a3*a4]
25.0750000000000,19.075,4,[a2 + a4*b3 a2*b3 + a2 a2 + a3*a4 + a4*b3 a2 + a3*a4]
25.0750000000000,19.075,4,[a2 + a4*b3 a2*b3 + a2 a2 + a3*a4 + a4*b3 a2 + a3*a4]
24.0000000000000,18.0,4,[a2*b3 + a2 a2*b3 + a2 a2 + a3*a4 + a4*b3 a2 + a3*a4]
24.0000000000000,18.0,4,[a2*b3 + a2 a2*b3 + a2 a2 + a3*a4 + a4*b3 a2 + a3*a4]
23.6250000000000,19.125,3,[a2*b3 + a2 a2*b3 + a2 a2*b3 + a2 + a3*a4 a2 + a3*a4]
23.6250000000000,19.125,3,[a2*b3 + a2 a2*b3 + a2 a2*b3 + a2 + a3*a4 a2 + a3*a4]
23.5250000000000,17.525,4,[a2*b3 + a2 a2*b3 + a2 a2 + a3*a4 + b1*b3 a2 + a3*a4]
23.5250000000000,17.525,4,[a2*b3 + a2 a2*b3 + a2 a2 + a3*a4 + b1*b3 a2 + a3*a4]
23.0500000000000,17.05,4,[a2 + b1*b3 a2*b3 + a2 a2 + a3*a4 + b1*b3 a2 + a3*a4]
23.0500000000000,17.05,4,[a2 + b1*b3 a2*b3 + a2 a2 + a3*a4 + b1*b3 a2 + a3*a4]
22.4500000000000,16.45,4,[a2 + b1*b3 a2**2 + a2 a2 + a3*a4 + b1*b3 a2 + a3*a4]
22.4500000000000,16.45,4,[a2 + b1*b3 a2**2 + a2 a2 + a3*a4 + b1*b3 a2 + a3*a4]
22.0875000000000,16.0875,4,[a2 + b1*b3 a2*b4 + a2 a2 + a3*a4 + b1*b3 a2 + a3*a4]
22.0875000000000,16.0875,4,[a2 + b1*b3 a2*b4 + a2 a2 + a3*a4 + b1*b3 a2 + a3*a4]
22.0875000000000,16.0875,4,[a2 + b1*b3 a2*b4 + a2 a2 + a3*a4 + b1*b3 a2 + a3*a4]
21.6375000000000,15.6375,4,[a2 + b1*b3 a2*b4 + a2 a3*a4 + b1*b3 a2 + a3*a4]
21.6375000000000,15.6375,4,[a2 + b1*b3 a2*b4 + a2 a3*a4 + b1*b3 a2 + a3*a4]
21.6125000000000,8.1125,9,[a1*b1 + a2*b3 a1*a2 + b2 + b3 + 2*b4 a3*b1 + a4*b3 a3*a4 + a3 + b4]
21.6125000000000,8.1125,9,[a1*b1 + a2*b3 a1*a2 + b2 + b3 + 2*b4 a3*b1 + a4*b3 a3*a4 + a3 + b4]
20.8250000000000,11.825,6,[a1*b1 + a2*b3 a2*b4 + a2 a3*a4 + b1*b3 a2 + a3*a4]
20.8250000000000,11.825,6,[a1*b1 + a2*b3 a2*b4 + a2 a3*a4 + b1*b3 a2 + a3*a4]
20.7625000000000,11.7625,6,[a1*b1 + a2*b3 a1*b1 + a2*b4 a3*a4 + b1*b3 a2 + a3*a4]
20.7625000000000,11.7625,6,[a1*b1 + a2*b3 a1*b1 + a2*b4 a3*a4 + b1*b3 a2 + a3*a4]
20.2125000000000,14.2125,4,[a1*b1 + a2*b3 b1 a3*b1 + a4*b3 a3*b1 + a4*b3]
20.2125000000000,14.2125,4,[a1*b1 + a2*b3 b1 a3*b1 + a4*b3 a3*b1 + a4*b3]
19.8250000000000,12.325,5,[a1*b1 + a2*b3 b1 a3*b1 + a4*b3 a3*b1 + a4*b2]
19.6875000000000,12.1875,5,[a1*b1 + a2*b3 b2 a3*b1 + a4*b3 a3*b1 + a4*b2]
19.6875000000000,12.1875,5,[a1*b1 + a2*b3 b2 a3*b1 + a4*b3 a3*b1 + a4*b2]
19.5875000000000,12.0875,5,[a1*b1 + a2*b3 a2 a3*b1 + a4*b3 a3*b1 + a3*b2]
19.5750000000000,10.575,6,[a1*b1 + a2*b3 b2 a3*b1 + a4*b3 a3*b2 + b1*b4]
19.5750000000000,10.575,6,[a1*b1 + a2*b3 b2 a3*b1 + a4*b3 a3*b2 + b1*b4]
19.5750000000000,10.575,6,[a1*b1 + a2*b3 b2 a3*b1 + a4*b3 a3*b2 + b1*b4]
19.5375000000000,10.5375,6,[a1*b1 + a2*b3 a2 a3*b1 + a4*b3 a3*b2 + a3*b4]
18.8000000000000,5.3,9,[a1*b1 + a2*b3 a1*a2 + 2*a2 + 2*b2 a3*b1 + a4*b3 a3*b2 + a3*b4]
18.8000000000000,5.3,9,[a1*b1 + a2*b3 a1*a2 + 2*a2 + 2*b2 a3*b1 + a4*b3 a3*b2 + a3*b4]
18.5875000000000,9.5875,6,[a1*b1 + a2*b3 a3*b2 + a3*b4 a3*b1 + a4*b3 a3*b2 + a3*b4]
18.5875000000000,9.5875,6,[a1*b1 + a2*b3 a3*b2 + a3*b4 a3*b1 + a4*b3 a3*b2 + a3*b4]
18.3625000000000,6.3625,8,[a1*b1 + a2*b3 2*a1*a2 + 2*b2 a3*b1 + a4*b3 a3*b2 + a3*b4]
17.5250000000000,5.525,8,[a1*b1 + a2*b3 a1*a2 + 4*b2 a3*b1 + a4*b3 a3*b2 + a3*b4]
17.5250000000000,5.525,8,[a1*b1 + a2*b3 a1*a2 + 4*b2 a3*b1 + a4*b3 a3*b2 + a3*b4]
14.7750000000000,2.775,8,[a1*b1 + a2*b3 a1*a2 + 4*b2 a3*b1 + a4*b3 a3*b2 + a4*b4]
14.7250000000000,4.225,7,[a1*b1 + a2*b3 a1*a2 + a4*b4 a3*b1 + a4*b3 a3*b2 + a4*b4]
14.7250000000000,4.225,7,[a1*b1 + a2*b3 a1*a2 + a4*b4 a3*b1 + a4*b3 a3*b2 + a4*b4]
13.8125000000000,1.8125,8,[a1*b1 + a2*b3 a1*a2 + b2*b4 a3*b1 + a4*b3 a3*b2 + a4*b4]
