Fitness,Accuracy,Complexity,Equations
219/5,29.8,7,[0 -a1 + a3*b3 - a4 -a1 + a3*b1 + b2 2*a2 + a3 + b3]
219/5,29.8,7,[0 -a1 + a3*b3 - a4 -a1 + a3*b1 + b2 2*a2 + a3 + b3]
214/5,28.8,7,[0 -a1 + a3*b1 - a4 -a1 + a3*b1 + b2 2*a2 + a3 + b3]
3419/80,28.7375,7,[a2 - b1 + b3 -a1 + a3*b3 - b1 -a1 + a3*b1 + b2 2*a2 + a3 + b3]
3219/80,24.2375,8,[a3*b1 b2 -a1 + a3*b1 + b1 + b4 2*a2 + 2*a3 - a4 + 2*b3]
2889/80,24.1125,6,[a3*b1 b2 a3*b1 + a3 2*a2 + 2*a3 - a4 + 2*b3]
2889/80,24.1125,6,[a3*b1 b2 a3*b1 + a3 2*a2 + 2*a3 - a4 + 2*b3]
2541/80,23.7625,4,[a3*b1 + b4 b2 a3*b1 + b4 2*a2 + 2*a3 - a4 + 2*b3]
2541/80,23.7625,4,[a3*b1 + b4 b2 a3*b1 + b4 2*a2 + 2*a3 - a4 + 2*b3]
2541/80,23.7625,4,[a3*b1 + b4 b2 a3*b1 + b4 2*a2 + 2*a3 - a4 + 2*b3]
1167/40,23.175,3,[a2 + a3*b1 - a3 b4 a3*b1 + b4 a3*b1 + b4]
1167/40,23.175,3,[a2 + a3*b1 - a3 b4 a3*b1 + b4 a3*b1 + b4]
553/20,21.65,3,[a2*b3 + a3*b1 b4 a3*b1 + b4 a3*b1 + b4]
553/20,21.65,3,[a2*b3 + a3*b1 b4 a3*b1 + b4 a3*b1 + b4]
1027/40,19.675,3,[a2*b3 + a3*b1 a3*b1 + b4 a3*b1 + b4 a3*b1 + b4]
1027/40,19.675,3,[a2*b3 + a3*b1 a3*b1 + b4 a3*b1 + b4 a3*b1 + b4]
499/20,20.95,2,[a3*b1 + b4 a3*b1 + b4 a3*b1 + b4 a3*b1 + b4]
987/40,18.675,3,[a3*b1 + a3 a3*b1 + a3 a3*b1 + a3 a3*b2 + a3]
979/40,18.475,3,[a3*b1 + b4 a3*b1 + b4 a3*b1 + b4 a3*b2 + b4]
979/40,18.475,3,[a3*b1 + b4 a3*b1 + b4 a3*b1 + b4 a3*b2 + b4]
979/40,16.475,4,[a3*b1 + b4 a2*a3 + b4 a3*b1 + b4 a3*b2 + b4]
483/20,18.15,3,[a3*b1 + b4 a2*a3 + b4 a3*b1 + b4 a2*a3 + b4]
237/10,17.7,3,[a3*b1 + b4 a3*b2 + b4 a3*b1 + b4 a3*b2 + b4]
379/16,15.6875,4,[a3*b1 + b4 a2*a3 + b4 a3*b1 + b4 a2*a3 + a4*b2]
379/16,15.6875,4,[a3*b1 + b4 a2*a3 + b4 a3*b1 + b4 a2*a3 + a4*b2]
2101/80,18.2625,4,[b1*b2 + b4 a3*b2 + b4 a3*b1 + b4 a3*b2 + b4]
2101/80,18.2625,4,[b1*b2 + b4 a3*b2 + b4 a3*b1 + b4 a3*b2 + b4]
