Fitness,Accuracy,Complexity,Equations
38.0750000000000,1271/40,9,[2*a2 + b1 + b2 (a3 + b1)*(b2 - b4) a1 - a4 + b2 - b4 a2*a3 + a3*a4]
38.0750000000000,1271/40,9,[2*a2 + b1 + b2 (a3 + b1)*(b2 - b4) a1 - a4 + b2 - b4 a2*a3 + a3*a4]
35.7375000000000,2467/80,7,[a1 a3*a4 -a4 + b2 - b4 a2*a3 + a3*a4]
34.7375000000000,2499/80,5,[a4 a3*b1 + b1**2 a3 a2*a3 + a3*a4]
30.1125000000000,2129/80,5,[a4 b1 b1**2 a2*a3 + a3*a4]
29.2125000000000,1889/80,8,[a2 b1*b2 a3*a4 a2*a3 + a3*a4]
28.7750000000000,983/40,6,[b1**2 b1 b1**2 a1*a3 + a2*a3]
28.7750000000000,983/40,6,[b1**2 b1 b1**2 a1*a3 + a2*a3]
28.4750000000000,943/40,7,[b1**2 b1**2 b1**2 a1*a3 + a2*a3]
