Fitness,Accuracy,Complexity,Equations
4291/80,29.6375,8,[a1 + a3*b2 - b1 a4*b1 - b2 + b4 b1*b2 + b1 + b3 a1*a2 - b1 + b3]
4291/80,29.6375,8,[a1 + a3*b2 - b1 a4*b1 - b2 + b4 b1*b2 + b1 + b3 a1*a2 - b1 + b3]
3909/80,33.8625,5,[-a3 + a4 + b2 + b4 -a2 + a3 + 2*b2 a3 a3]
1421/40,35.525,0,[b4 b4 a3 a3]
1417/40,35.425,0,[b4 a3 a3 a3]
283/8,35.375,0,[a3 b4 a3 a3]
2827/80,35.3375,0,[b1 b2 a3 a3]
1411/40,35.275,0,[a3 a3 a3 a3]
2813/80,35.1625,0,[a3 b2 a3 a3]
351/10,35.1,0,[a3 a2 a3 a3]
35,29.0,2,[a2*b1 + a3 a2*b1 + a3 a3 a3]
259/8,26.375,2,[a2*b1 + a3 a2*b1 + a3 a2*b1 + a3 a3]
2579/80,26.2375,2,[a2*b1 + a3 b2 a2*b1 + a3 a2*b1 + a3]
631/20,19.55,4,[a2*b1 + a3 a2*b1 + a3 a3 + a4*b1 a3**2]
151/5,21.2,3,[a2*b1 + a3 a2*b1 + a3 a2*b1 + a3 a3**2]
151/5,21.2,3,[a2*b1 + a3 a2*b1 + a3 a2*b1 + a3 a3**2]
1193/40,20.825,3,[a2*b1 + a3 2*a2*b1 a3*(b1 + 1) a3*(b1 + 1)]
297/10,23.7,2,[a2*b1 + a3 a2*b1 + a3 a2*b1 + a3 a2*b1 + a3]
297/10,23.7,2,[a2*b1 + a3 a2*b1 + a3 a2*b1 + a3 a2*b1 + a3]
297/10,23.7,2,[a2*b1 + a3 a2*b1 + a3 a2*b1 + a3 a2*b1 + a3]
1163/40,23.075,2,[a3*(b1 + 1) a1 a3*(b1 + 1) a3*(b1 + 1)]
144/5,22.8,2,[a3*(b1 + 1) a2 a3*(b1 + 1) a3*(b1 + 1)]
144/5,22.8,2,[a3*(b1 + 1) a2 a3*(b1 + 1) a3*(b1 + 1)]
1117/40,18.925,3,[a3*(b1 + 1) a2 a3*b1 + a4*b3 a3*(b1 + 1)]
1091/40,18.275,3,[a3*(b1 + 1) a2 a3*b1 + a4*b3 a3*b1 + a4*b3]
1091/40,18.275,3,[a3*(b1 + 1) a2 a3*b1 + a4*b3 a3*b1 + a4*b3]
1091/40,18.275,3,[a3*(b1 + 1) a3*b1 + a4*b3 a3*b1 + a4*b3 a3*b1 + a4*b3]
1091/40,18.275,3,[a3*(b1 + 1) a3*b1 + a4*b3 a3*b1 + a4*b3 a3*b1 + a4*b3]
511/20,19.55,2,[a3*b1 + a4*b3 a4 a3*b1 + a4*b3 a3*b1 + a4*b3]
511/20,19.55,2,[a3*b1 + a4*b3 a4 a3*b1 + a4*b3 a3*b1 + a4*b3]
509/20,19.45,2,[a3*b1 + a4*b3 a3 a3*b1 + a4*b3 a3*b1 + a4*b3]
1011/40,19.275,2,[a3*b1 + a4*b3 a2 a3*b1 + a4*b3 a3*b1 + a4*b3]
1011/40,19.275,2,[a3*b1 + a4*b3 a2 a3*b1 + a4*b3 a3*b1 + a4*b3]
1011/40,19.275,2,[a3*b1 + a4*b3 a2 a3*b1 + a4*b3 a3*b1 + a4*b3]
1007/40,16.175,3,[a3*b1 + a4*b3 a2 a3*b1 + a4*b3 a3*b2 + a4*b3]
121/5,15.2,3,[a3*b1 + a4*b3 a3*b2 + a4*b3 a3*b1 + a4*b3 a3*b2 + a4*b3]
121/5,15.2,3,[a3*b1 + a4*b3 a3*b2 + a4*b3 a3*b1 + a4*b3 a3*b2 + a4*b3]
963/40,12.075,4,[a3*b1 + a4*b3 a3*b2 + a4*b3 a3*b1 + a4*b3 a3*b2 + a4*b4]
963/40,12.075,4,[a3*b1 + a4*b3 a3*b2 + a4*b3 a3*b1 + a4*b3 a3*b2 + a4*b4]
183/8,10.875,4,[a3*b1 + a4*b3 a3*b2 + a4*b4 a3*b1 + a4*b3 a3*b2 + a4*b4]
