Fitness,Accuracy,Complexity,Equations
5757/80,35.9625,9,[2*b1*(a1 + a3) a2 - a3 + a4 + b1 b1**2 + b1 + b3 -a1 + 2*b2 + b4]
1117/16,29.8125,10,[a1*a4 + b3**2 0 (b2 - b3)*(b2 - b4) a3*b2 + b4]
2757/40,28.925,10,[a1*a4 + 2 0 (b2 - b3)*(b2 - b4) a3*b2 + b4]
241/5,32.2,4,[a1*a4 + a2**2 -1 a2 - a4 + b1*b2 a4]
1423/40,35.575,0,[a2 a2 b3 b3]
1423/40,35.575,0,[a2 a2 b3 b3]
1423/40,35.575,0,[a2 a2 b3 b3]
2837/80,35.4625,0,[b3 a2 b3 b3]
709/20,35.45,0,[b3 b2 b3 b2]
707/20,35.35,0,[b2 b2 a3 a3]
2823/80,35.2875,0,[b2 a2 a3 a3]
351/10,35.1,0,[a3 a2 a3 a3]
3727/80,34.5875,3,[a3 b2 a3 2*a1]
