Fitness,Accuracy,Complexity,Equations
238/5,26.6,7,[a1 + 2*b3 - b4 a1*b4 + a2*b3 a4 + b1 + 2*b3 a3 + a4 + b1 - b4]
3427/80,27.8375,5,[a1 + 2*b3 - b4 a1*b4 + a2*b3 a4 + b1 + 2*b3 b1]
3427/80,27.8375,5,[a1 + 2*b3 - b4 a1*b4 + a2*b3 a4 + b1 + 2*b3 b1]
3309/80,35.3625,2,[b2 b3 + 2*b4 b1 b1]
145/4,30.25,2,[b2 a1*b2 + a3 + 2*b4 b1 b1]
289/8,30.125,2,[b2 a1*b2 + a3 + 2*b4 b1 b2]
2859/80,29.7375,2,[b2 a1*b2 + a3 + b2*b4 b2 b1]
2769/80,28.6125,2,[b2 a1*b2 + a2*b4 + a3 b2 b4]
2759/80,28.4875,2,[b4 a1*b2 + a2*b4 + a3 b2 b2]
2759/80,28.4875,2,[b4 a1*b2 + a2*b4 + a3 b2 b2]
2759/80,28.4875,2,[b4 a1*b2 + a2*b4 + a3 b2 b2]
2739/80,28.2375,2,[b2 a1*b2 + a2*b4 + a3 b2 b2]
273/8,25.125,3,[a1*b2 + a2*b4 + a3 a1*b2 + a2*b4 + a3 b3 b3]
273/8,25.125,3,[a1*b2 + a2*b4 + a3 a1*b2 + a2*b4 + a3 b3 b3]
639/20,22.95,3,[a1*b2 + a2*b4 + a3 a1*b2 + a2*b4 + a3 b3 a1*b2 + a2*b4 + a3]
639/20,22.95,3,[a1*b2 + a2*b4 + a3 a1*b2 + a2*b4 + a3 b3 a1*b2 + a2*b4 + a3]
623/20,22.15,3,"[a1*b2 + a2*b4 + a3 a1*b2 + a2*b4 + a3 a1*b2 + a2*b4 + a3
 a1*b2 + a2*b4 + a3]"
623/20,22.15,3,"[a1*b2 + a2*b4 + a3 a1*b2 + a2*b4 + a3 a1*b2 + a2*b4 + a3
 a1*b2 + a2*b4 + a3]"
623/20,22.15,3,"[a1*b2 + a2*b4 + a3 a1*b2 + a2*b4 + a3 a1*b2 + a2*b4 + a3
 a1*b2 + a2*b4 + a3]"
623/20,22.15,3,"[a1*b2 + a2*b4 + a3 a1*b2 + a2*b4 + a3 a1*b2 + a2*b4 + a3
 a1*b2 + a2*b4 + a3]"
