Fitness,Accuracy,Complexity,Equations
745/16,30.5625,8,[a1 + a3*b3 + b4 a3 - b4 a1 + a2*b3 + b1 -b1 + b3 + 2*b4]
1791/40,36.775,4,[a4 0 a4*b4 + b1 -a1*b4 + a2*b1]
423/10,34.3,4,[a4*b4 + b1 0 a4*b4 + b1 -a1*b4 + a2*b1]
1531/40,34.275,2,[b3 b3 a2*a3 + b1 - b3 b3]
2873/80,35.9125,0,[b3 b3 b1 b3]
709/20,35.45,0,[b3 a3 a3 b3]
1411/40,35.275,0,[b3 a2 a3 b3]
1411/40,35.275,0,[b3 a2 a3 b3]
2821/80,35.2625,0,[b3 b2 a3 b2]
2813/80,35.1625,0,[a3 b2 a3 a3]
2813/80,35.1625,0,[a3 b2 a3 a3]
351/10,35.1,0,[a3 a2 a3 a3]
351/10,35.1,0,[a3 a2 a3 a3]
2709/80,29.8625,2,[a3 a2 a3 a2 + a3*a4]
531/16,29.1875,2,[a3 a2 a3 a3*b2 + b3]
531/16,29.1875,2,[a3 a2 a3 a3*b2 + b3]
1299/40,28.475,2,[a2 + a3*a4 a2 a3 a2 + a3*a4]
1299/40,28.475,2,[a2 + a3*a4 a2 a3 a2 + a3*a4]
1299/40,28.475,2,[a2 + a3*a4 a2 a3 a2 + a3*a4]
1299/40,28.475,2,[a2 + a3*a4 a2 a3 a2 + a3*a4]
2283/80,24.5375,2,[a2 + a3*a4 a2 a2 + a3*a4 a2 + a3*a4]
227/8,22.375,3,[a2 a2*(a3 + 1) a2 + a3*a4 a2 + a3*a4]
1077/40,22.925,2,[a2 + a3*a4 a2 + a3*a4 a2 + a3*a4 a2 + a3*a4]
2139/80,18.7375,4,[a2 + a3*b1 a2 + a3*a4 a2 + a3*a4 a3*(a4 + b2)]
2139/80,18.7375,4,[a2 + a3*b1 a2 + a3*a4 a2 + a3*a4 a3*(a4 + b2)]
211/8,14.375,6,[a2*(b1 + 1) a2 + a4*(a2 + b3) a2 + a4*(a2 + b3) a3*b2 + a4*b4]
211/8,14.375,6,[a2*(b1 + 1) a2 + a4*(a2 + b3) a2 + a4*(a2 + b3) a3*b2 + a4*b4]
1033/40,17.825,4,[a1 a2 + a4*(a2 + b3) a2 + a4*(a2 + b3) a3*b2 + a4*b4]
1033/40,17.825,4,[a1 a2 + a4*(a2 + b3) a2 + a4*(a2 + b3) a3*b2 + a4*b4]
943/40,15.575,4,[a2 + a4*(a2 + b3) a2 + a4*(a2 + b3) a2 + a4*(a2 + b3) a3*b2 + a4*b4]
943/40,15.575,4,[a2 + a4*(a2 + b3) a2 + a4*(a2 + b3) a2 + a4*(a2 + b3) a3*b2 + a4*b4]
907/40,12.675,5,[a2 + a4*(b1 + b3) a2*(a4 + 1) a2 + a4*(b1 + b3) a3*b2 + a4*b4]
907/40,12.675,5,[a2 + a4*(b1 + b3) a2*(a4 + 1) a2 + a4*(b1 + b3) a3*b2 + a4*b4]
907/40,12.675,5,[a2 + a4*(b1 + b3) a2*(a4 + 1) a2 + a4*(b1 + b3) a3*b2 + a4*b4]
891/40,12.275,5,[a2*(b1 + 1) a3*b2 + a4*b4 a2 + a4*(b1 + b3) a3*b2 + a4*b4]
891/40,12.275,5,[a2*(b1 + 1) a3*b2 + a4*b4 a2 + a4*(b1 + b3) a3*b2 + a4*b4]
1689/80,11.1125,5,[a1*b1 + a2 a3*b2 + a4*b4 a2 + a4*(b1 + b3) a3*b2 + a4*b4]
1689/80,11.1125,5,[a1*b1 + a2 a3*b2 + a4*b4 a2 + a4*(b1 + b3) a3*b2 + a4*b4]
211/10,11.1,5,[a2 + b1*b3 a2 + a3*b2 a2 + a4*(b1 + b3) a3*b2 + a4*b4]
1653/80,10.6625,5,[a1*b1 + a2 a2 + a3*b2 a2 + a4*(b1 + b3) a3*b2 + a4*b4]
1653/80,10.6625,5,[a1*b1 + a2 a2 + a3*b2 a2 + a4*(b1 + b3) a3*b2 + a4*b4]
1631/80,10.3875,5,[a1*(b1 + 1) + a2 a2 + a3*b2 a2 + a4*(b1 + b3) a3*b2 + a4*b4]
231/10,13.1,5,[a1 + a2 + b1 + 1 a2 + a3*b2 a2 + a4*(b1 + b3) a3*b2 + a4*b4]
231/10,13.1,5,[a1 + a2 + b1 + 1 a2 + a3*b2 a2 + a4*(b1 + b3) a3*b2 + a4*b4]
